MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE995497203938;K3 Kwillsberg 3;In Betrieb;14.11.2025;17.11.2025;Wind;6000;6000;23936;Stepenitztal;Windpark Westliches Hügelland GmbH & Co. KG;ABR913678669373;17.11.2025
SEE944728793595;WEA VK 16;In Betrieb;13.11.2025;14.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE966500140458;K1 Kwillsberg 1;In Betrieb;12.11.2025;14.11.2025;Wind;6000;6000;23936;Stepenitztal;Windpark Westliches Hügelland GmbH & Co. KG;ABR913678669373;14.11.2025
SEE987006703763;WEA VK 03;In Betrieb;06.11.2025;07.11.2025;Wind;5700;5700;19386;Gehlsbach;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;07.11.2025
SEE992209556993;WEA VK 01;In Betrieb;28.10.2025;06.11.2025;Wind;5700;5700;19386;Gehlsbach;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE965065049664;WEA VK 04;In Betrieb;21.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE991653679128;WEA VK 06;In Betrieb;28.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE964138137581;WEA VK 07;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE997885908968;WEA VK 08;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE982668582091;WEA VK 09;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE915617016026;WEA VK 10;In Betrieb;15.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE930997105627;WEA VK 11;In Betrieb;25.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE958569616890;WEA VK 12;In Betrieb;24.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE968607790956;WEA VK 13;In Betrieb;24.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE901952511630;WEA VK 14;In Betrieb;22.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE952286222044;WEA VK 15;In Betrieb;16.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE962740991584;WEA-02;In Planung;;03.10.2025;Wind;6000;6000;18196;Dummerstorf;BS Windertrag GmbH;ABR941532341882;05.10.2025
SEE956791859498;Windpark Düvier WEA 01;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE938580594827;Windpark Düvier WEA 02;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE977596336199;Windpark Düvier WEA 03;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE988442479649;Windpark Düvier WEA 04;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE900823691327;WEA 01;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE968744748490;WEA 02;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE975915404659;WEA 03;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE986025865247;WEA 04;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
